area,village,median,lat,lon,state_code
北投區,永明里,759,25.1169242,121.5148753,555427050
北投區,文林里,702,25.1085514,121.5152322,555227046
北投區,大屯里,570,25.1595596,121.5055958,556327042
北投區,湖田里,567,25.1825708,121.5541264,556927029
信義區,松友里,692,25.032185,121.5762438,553526931
信義區,六藝里,681,25.044384,121.5708932,553826960
信義區,中興里,711,25.0326563,121.5587643,553526928
信義區,永吉里,571,25.0474218,121.5790974,553926969
信義區,敦厚里,735,25.0444729,121.5691097,553826960
信義區,大道里,643,25.0414461,121.5819509,553726956
信義區,安康里,974,25.0363401,121.5726768,553626941
信義區,嘉興里,645,25.0276883,121.5573373,553426914
信義區,五全里,633,25.0443743,121.5737469,553826961
信義區,新仁里,822,25.0444919,121.563402,553826959
信義區,正和里,777,25.0366343,121.5587643,553626938
信義區,惠安里,685,25.0226049,121.5662559,553326901
信義區,三犁里,779,25.0310368,121.5726768,553526927
信義區,六合里,739,25.0217371,121.578384,553326901
信義區,泰和里,633,25.0184501,121.5698231,553226889
信義區,西村里,709,25.0357054,121.5641155,553626937
信義區,興隆里,781,25.0398605,121.560548,553726947
信義區,景新里,808,25.0312326,121.563402,553526925
信義區,景聯里,716,25.0295888,121.559121,553526920
信義區,景勤里,672,25.0269368,121.559121,553426912
信義區,黎順里,657,25.0243733,121.5573373,553426904
信義區,黎平里,722,25.0223046,121.556267,553326898
信義區,黎忠里,662,25.0203068,121.559121,553326893
信義區,松隆里,562,25.0316711,121.5812375,553526930
信義區,中坡里,618,25.0314933,121.5848043,553526931
信義區,永春里,636,25.0434446,121.5790974,553826960
信義區,富臺里,754,25.0415546,121.5744603,553726954
信義區,長春里,618,25.0427122,121.5751737,553826957
信義區,五常里,678,25.0463631,121.5737469,553826966
信義區,四維里,663,25.0443646,121.5766005,553826962
信義區,雅祥里,687,25.0481141,121.5705365,553926969
信義區,興雅里,715,25.0408315,121.5676828,553726951
信義區,廣居里,790,25.0398229,121.5719634,553726950
信義區,中行里,626,25.0356289,121.5869443,553626942
信義區,四育里,655,25.0480946,121.5762438,553926970
信義區,國業里,772,25.0375675,121.5773139,553726945
信義區,松光里,683,25.0398828,121.5787407,553726951
信義區,大仁里,603,25.0387946,121.5819509,553726949
信義區,雙和里,701,25.0236129,121.561975,553326903
信義區,黎安里,513,25.0111663,121.5669693,553126865
信義區,三張里,698,25.0292346,121.5662559,553526920
