district,address,boomTime,lat,lon,state_code
大同區,民權西路194號,105-3-8,25.0627713,121.5144137,554226987
大同區,承德路2段與民生西路口,105-3-8,25.055966,121.5183901,554126975
大同區,民權西路與承德路3段口,105-2-4,25.0638424,121.5181676,554226990
大同區,忠孝西路2段與延平北路1段口,105-2-6,25.1059247,121.4827629,555227037
大同區,環河北路2段與敦煌路口,105-2-13,25.0705244,121.5091986,554427000
大同區,延平北路2段36巷,105-2-15,25.054873800000006,121.5113235,554026971
大同區,延平北路2段與南京西路口,105-2-17,25.054846,121.511773,554026971
大同區,蘭州街與民權西路口,105-2-21,25.062889,121.5147047,554226988
大同區,民權西路與大龍街口,105-3-5,25.0629722,121.5166608,554226988
大同區,延平北路4段與民族西路口,105-3-5,25.0688526,121.51077990000002,554326997
大同區,碼頭,105-3-6,25.0566228,121.5071796,554126974
大同區,重慶北路2段與民生西路口,105-3-9,25.0569098,121.5135979,554126976
大同區,酒泉街141號,105-2-8,25.072125,121.5142129,554427004
大同區,民族西路187巷,105-1-30,25.0695457,121.5149182,554427000
大同區,延平北路1段與甘谷街口,105-2-2,25.0527697,121.5118289,554026966
大同區,重慶北路2段與民生西路口,105-2-12,25.0569098,121.5135979,554126976
大同區,民權西路272-2號,105-3-20,25.062665,121.511894,554226987
大同區,庫倫街40號,105-3-20,25.0718024,121.5177213,554427004
大同區,赤峰街47巷,105-3-20,25.0553321,121.5202436,554026974
大同區,鄭州路145號,105-3-23,25.0509696,121.5093209,553926962
大同區,迪化街2段190巷15號,105-5-5,25.067871,121.5099051,554326996
大同區,台北橋與台北橋口,105-2-15,25.0637104,121.5065347,554226987
大同區,民生西路98號,105-2-23,25.057418,121.5199052,554126978
大同區,延平北路3段與民權西路口,105-2-25,25.0631105,121.5112207,554226987
大同區,大龍街與酒泉街口,105-2-27,25.071921600000003,121.5160093,554427004
大同區,長安西路與塔城街口,105-3-4,25.050385,121.5097864,553926961
大同區,昌吉街與伊寧街9巷口,105-3-9,25.0657389,121.5167267,554326993
大同區,安西街106號,105-2-15,25.0610919,121.5098192,554226983
大同區,長安西路172巷,105-2-15,25.050628600000003,121.5159828,553926963
大同區,重慶北路2段與民生西路口,105-2-20,25.0569098,121.5135979,554126976
大同區,酒泉街103巷,105-2-25,25.0719954,121.5148835,554427004
大同區,民生西路與承德路2段口,105-3-6,25.0550237,121.5180181,554026973
大同區,延平北路2段272巷與安西街口,105-2-20,25.0620234,121.5105781,554226985
大同區,南京西路139號,105-2-26,25.054145,121.513863,554026970
大同區,民權西路225巷,105-2-27,25.0638489,121.5121261,554226989
大同區,長安西路與西寧北路口,105-2-18,25.0514809,121.5144918,554026964
大同區,民族西路與重慶北路3段口,105-2-24,25.0686418,121.5138172,554326998
大同區,延平北路4段179巷,105-2-12,25.073596,121.5119002,554427006
大同區,鄭州路與環河北路1段口,105-2-12,25.0507942,121.5067592,553926961
大同區,民權西路114巷,105-5-9,25.0627313,121.5170027,554226988
大同區,民族西路與重慶北路3段口,105-7-25,25.0686418,121.5138172,554326998
